Model,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro
Random Forest,0.9386927913318784,0.8378145864042315,0.8877101831466783,0.8378145864042315,0.8587149990651767
Gradient Boosting,0.926148643980313,0.7793171560425126,0.880024138701159,0.7793171560425126,0.8168691664753137
KNN,0.8896472682492653,0.7159806976188586,0.7674030802223326,0.7159806976188586,0.7359218439309089
SVM,0.7770096443420267,0.7498565979031493,0.6445753468052254,0.7498565979031493,0.6605536112431268
Logistic Regression,0.7273894436519258,0.7221061014092769,0.6172587388425544,0.7221061014092769,0.6173381609758921
