Model,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro
Gradient Boosting,0.8653938183411867,0.5808947646484228,0.6757819716152275,0.5808947646484228,0.5928570712104836
KNN,0.8348622549675181,0.5564570648158627,0.58654019983569,0.5564570648158627,0.5624566023295946
SVM,0.7025149359886202,0.6430578707116771,0.5684881371436971,0.6430578707116771,0.5610964109995157
Random Forest,0.8388553307500676,0.5389097009501003,0.5884079857492749,0.5389097009501003,0.539743873435407
Logistic Regression,0.6540554030027714,0.6199832777162851,0.5490656582685945,0.6199832777162851,0.5224148515946827
